question,response
0,"Hi, how are you?         ",I am good. Thanks for asking
1,What's the weather like,Not Sure
2,Tell me a joke.          ,Why don't scientists trust atoms?Because they make up everything!
3,How do I register for classes?,"To register for classes, log in to your student portal and navigate to the registration section. Follow the instructions to add your desired courses to your schedule."
4,What is the registration deadline?,The registration deadline for the upcoming semester is [date]. Make sure to complete your registration before that date to secure your spot in classes. 
5,Can I register for more than 18 credits?,"The maximum credit limit for registration is 18 credits per semester. If you need to exceed this limit, please contact the registrar's office for assistance."
6,How do I drop a class?,"To drop a class, log in to your student portal, go to the registration section, and find the option to drop courses. Follow the prompts to complete the process."
7,What courses are available for [major]?,"You can view the list of available courses for [major] in the course catalog on our university website. Additionally, you can use the online course search tool in your student portal"
8,I'm having trouble with registration.,"I'm sorry to hear that. Please provide more details about the issue you're facing, and I'll do my best to assist you."
9,When is the add/drop period?,"The add/drop period for the current semester is [date]. During this time, you can make adjustments to your class schedule without any penalties."
10,How can I check my class schedule?,"You can view your class schedule by logging in to your student portal and navigating to the schedule or registration section. There, you'll find details about your enrolled courses. "
11,Are there any prerequisites for [course]?,"Yes, [course] has prerequisites. Check the course description or the university catalog for information on the required prerequisites."
12,Tell me about [instructor] for [course].,"[Instructor] teaches [course]. You can find more information about the instructor, such as office hours and contact details, on the university website or the course syllabus."
13,What documents do I need before classes start?,"Before classes start, you'll need to submit: 1. Admission acceptance letter
2. Transcripts from previous institutions
3. Proof of identification (ID or passport)
4. Completed registration forms"
14,Can you tell me about the required paperwork?,"Certainly! Before classes begin, ensure you have: 1. Proof of enrollment
2. Health insurance information
3. Any specific departmental requirements"
15,Where can I find information about documents?,You can find detailed information about required documents on the university's official website or contact the admissions office for assistance.
16,Are there any medical documents needed?,"Yes, medical documents such as immunization records may be required. Check with the university health services for specifics."
17,What's the deadline for document submission?,The deadline for document submission varies. Please check the university's academic calendar or contact the admissions office for details.
18,Do I need to submit a financial aid form?,"If you're applying for financial aid, you may need to submit additional forms. Check with the financial aid office for specific requirements."
19,How do I upload my documents online?,You can upload documents through the university's online portal. Refer to the admission instructions or contact technical support for assistance.
20,Who should I contact if I have issues with my Passport?,"| For Passport-related concerns, please reach out to the UNT International Office.                       |"
21,How can I get assistance with my Visa application?,"| If  you need help with your Visa application, contact the UNT International Admissions Office.           |"
22,I'm facing issues with my I-20. Whom should I reach out to? ," | For problems related to your I-20, contact the UNT International Student and Scholar Services (ISSS).   |"
23,What is the contact information for the International Office? ,| You can find the contact details for the UNT International Office on their official website.            |
24,Can you provide guidance on the Visa interview process?,| The UNT International Admissions Office can guide you through the Visa interview process.               |
25,My Passport is about to expire. What should I do? ,"| Renew your Passport as soon as possible. For additional guidance, contact the UNT International Office. |"
26,How long does it take to process a Visa application? , The processing time for Visa applications varies. Contact the UNT International Admissions Office for detail
27,| How can I apply for a Teaching Assistant position?                    ,"| To apply for a TA position, you can check the university job portal or contact the department you're interested in. |"
28,| Where can I find information about on-campus jobs?              ,| You can explore on-campus job opportunities on the university's career services website or job portal. |
29,| What are the requirements for becoming an IA?                        ,| IA positions may have specific requirements set by each department. Please check with the relevant department or visit their website. |
